District,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
EAST GARO HILLS,3.4499999999999997,2.0028571428571427,61.15,187.57,343.0228571428571,343.71571428571434,459.21999999999997,183.98714285714286,276.2757142857143,73.76285714285714,3.314285714285714,1.1142857142857143
EAST JAINTIA HILLS,0.0,0.0,0.0,7.7,1110.7,1.8,1.2,1086.8,0.0,0.0,0.0,0.0
EAST KHASI HILLS,15.117647058823529,12.105882352941176,92.85588235294118,520.3541176470588,394.45647058823533,374.21176470588233,839.7741176470588,184.76,262.795294117647,85.12176470588236,5.417647058823529,2.5588235294117645
NORTH GARO HILLS,0.15,0.05,14.1,4.05,6.35,3.05,7.7,3.3,2.05,0.0,0.0,0.0
RI BHOI,4.577727272727272,0.47272727272727266,17.904545454545453,53.35863636363636,76.74727272727273,139.4218181818182,140.4140909090909,155.07545454545453,98.18409090909091,77.0,5.362727272727272,2.1377272727272727
SOUTH GARO HILLS,4.142857142857143,4.2,32.199999999999996,124.86571428571429,190.07142857142858,383.2857142857143,463.34285714285716,276.37142857142857,342.09857142857146,81.48571428571428,0.6571428571428571,2.4857142857142853
SOUTH WEST GARO HILLS,0.5,0.1,16.8,17.2,128.4,153.8,121.4,24.3,55.1,0.0,0.0,0.0
SOUTH WEST KHASI HILLS,13.6,1.1,22.7,176.4,252.8,332.2,1285.35,71.2,335.2,0.0,0.0,0.0
WEST GARO HILLS,11.714285714285714,6.171428571428572,164.91428571428574,206.4,487.0285714285714,602.1142857142858,527.5814285714285,343.0571428571429,384.2714285714286,133.4857142857143,1.2,2.9714285714285715
WEST JAINTIA HILLS,8.642857142857142,10.1,47.528571428571425,106.45142857142856,426.95714285714286,721.5857142857143,1786.0,571.3171428571429,367.2142857142857,348.7857142857143,6.714285714285714,3.6571428571428575
WEST KHASI HILLS,5.394117647058824,5.923529411764706,25.976470588235294,88.52941176470588,180.81176470588233,205.06470588235294,294.2952941176471,225.19411764705885,149.2705882352941,62.6,4.382352941176471,1.8823529411764706
